======= Coverage for C:\Users\gianc\Desktop\SCRIPT\ISAB_TimeSheet\src\ ========
----------------------------------- Summary -----------------------------------
| Name                                                           | Total | Miss | Cover | Cover% |
|----------------------------------------------------------------|-------|------|-------|--------|
| bots\base\base_bot.py                                          |    11 |    0 |    11 |   100% |
| bots\base\login_page.py                                        |     2 |    0 |     2 |   100% |
| bots\portale_fornitori\carico_ts\bot.py                        |     6 |    0 |     6 |   100% |
| bots\portale_fornitori\carico_ts\locators.py                   |     1 |    0 |     1 |   100% |
| bots\portale_fornitori\carico_ts\pages\carico_ts_page.py       |     4 |    0 |     4 |   100% |
| bots\portale_fornitori\common\locators.py                      |     2 |    0 |     2 |   100% |
| bots\portale_fornitori\dettagli_oda\bot.py                     |     6 |    0 |     6 |   100% |
| bots\portale_fornitori\dettagli_oda\locators.py                |     1 |    0 |     1 |   100% |
| bots\portale_fornitori\dettagli_oda\pages\dettagli_oda_page.py |     7 |    0 |     7 |   100% |
| bots\portale_fornitori\prenota_bp\bot.py                       |     3 |    0 |     3 |   100% |
| bots\portale_fornitori\prenota_bp\locators.py                  |     1 |    0 |     1 |   100% |
| bots\portale_fornitori\prenota_bp\pages\prenota_bp_page.py     |    12 |    0 |    12 |   100% |
| bots\portale_fornitori\scarico_ts\bot.py                       |     6 |    0 |     6 |   100% |
| bots\portale_fornitori\scarico_ts\locators.py                  |     1 |    0 |     1 |   100% |
| bots\portale_fornitori\scarico_ts\scarico_ts_bot.py            |     5 |    0 |     5 |   100% |
| bots\portale_fornitori\scarico_ts\pages\scarico_ts_page.py     |     5 |    0 |     5 |   100% |
| bots\portale_fornitori\timbrature\bot.py                       |     6 |    0 |     6 |   100% |
| bots\portale_fornitori\timbrature\locators.py                  |     1 |    0 |     1 |   100% |
| bots\portale_fornitori\timbrature\storage.py                   |     9 |    1 |     8 |    89% |
| bots\portale_fornitori\timbrature\pages\timbrature_page.py     |     5 |    1 |     4 |    80% |
| bots\safework\base.py                                          |     1 |    0 |     1 |   100% |
| bots\safework\pdl\bot.py                                       |     8 |    0 |     8 |   100% |
| bots\safework\pdl\search_bot.py                                |     3 |    1 |     2 |    67% |
| core\app_initializer.py                                        |     3 |    0 |     3 |   100% |
| core\app_updater.py                                            |     1 |    0 |     1 |   100% |
| core\audit_manager.py                                          |    14 |    7 |     7 |    50% |
| core\auth_monitor.py                                           |     1 |    0 |     1 |   100% |
| core\backup_manager.py                                         |     6 |    0 |     6 |   100% |
| core\config_manager.py                                         |    17 |    0 |    17 |   100% |
| core\constants.py                                              |     5 |    0 |     5 |   100% |
| core\contabilita_manager.py                                    |    18 |    0 |    18 |   100% |
| core\contabilita_queries.py                                    |     7 |    0 |     7 |   100% |
| core\contabilita_search.py                                     |     3 |    0 |     3 |   100% |
| core\contabilita_stats.py                                      |     3 |    1 |     2 |    67% |
| core\contabilita_worker.py                                     |     2 |    0 |     2 |   100% |
| core\data_synchronizer.py                                      |     7 |    4 |     3 |    43% |
| core\database.py                                               |     4 |    0 |     4 |   100% |
| core\license_updater.py                                        |    10 |    1 |     9 |    90% |
| core\license_validator.py                                      |     7 |    1 |     6 |    86% |
| core\lyra_client.py                                            |     4 |    0 |     4 |   100% |
| core\lyra_sentinel.py                                          |     2 |    0 |     2 |   100% |
| core\notification_manager.py                                   |    17 |    2 |    15 |    88% |
| core\oda_manager.py                                            |     3 |    0 |     3 |   100% |
| core\schemas.py                                                |    11 |    3 |     8 |    73% |
| core\secrets_manager.py                                        |    11 |    0 |    11 |   100% |
| core\stats_manager.py                                          |     4 |    0 |     4 |   100% |
| core\telegram_bridge.py                                        |     2 |    0 |     2 |   100% |
| core\time_manager.py                                           |     2 |    0 |     2 |   100% |
| core\timesheet_processor.py                                    |     2 |    0 |     2 |   100% |
